avgTemp,minTemp,maxTemp,fainFall,avgPrice
1.2,-11,0.9,0,2123
0.9,-5.5,5.5,0.8,2123
1.8,-6.9,1.4,0,2123
2.3,-5.1,2.2,5.9,2020
2.2,-8.7,-1.8,0.7,2060
1.3,-11.4,-2.5,0.3,2060
0.3,-11.2,-1.2,0,2140
0.1,-11.4,1.4,0,2140
0,-8.8,1.8,0.1,2140
0.4,-5,2.8,0,2140
1.6,-5.1,2.1,0,2140
1.9,-8.2,-1.7,0.4,2140
2.6,-11.4,-4.6,0.7,2140
0.7,-12.7,0,0.1,2140
0.8,-7.9,3.9,0.1,2140
0.7,-9.9,2.9,0,2140
0.3,-9.8,4.9,0,2140
0.2,-7.1,7.7,0,2140
0,-4.6,11,0.3,2140
0,4.9,11.3,10.8,2175
3.5,-3.6,7.9,3.1,2211
2.8,-5.7,0.8,0,2211
2,-6.6,2,0.1,2211
1.8,-5.5,5.8,0,2211
3.4,-4.3,5.4,0,2211
1.3,-7.7,4.3,0,2178
0.8,-5.9,7.4,6.5,2178
3.7,-0.7,7.4,0.1,2311
2.8,-4.3,5,0,2344
1.2,-3.3,7.5,0,2344
0.7,-1.3,9.4,0,2344
1.5,-1,6.8,0.2,2380
2.9,-5.5,1.8,0,2520
2.7,-8.6,-0.3,0,2620
2.6,-8.4,2.2,0.1,2720
2.9,-5.9,3,0,2820
1.2,-8.5,4.7,0,2820
1.1,-8.3,8.6,0.1,2820
0.5,2.8,7.3,2.7,2980
0.5,3.6,7.8,6.9,3040
2,4,6.5,9,3040
4.1,0.7,5.2,17.3,3080
1.8,-0.6,2.7,3.1,3180
1.6,-3.3,2.2,1.9,3180
0.7,-4.9,2.5,0,3180
1.3,-4.4,5,0.1,3180
1.3,-5,3.2,0.6,3180
0.9,-6.1,3.6,0.4,3280
2.3,-4.8,2.4,0.5,3300
1.5,-6.1,5.4,0.1,3300
1.2,-4.2,9.7,0,3300
0.7,-3.4,11.6,0,3300
0.8,-0.8,12.8,0,3260
0.6,-1.2,16.4,0,3260
0.9,1.2,18.9,0,3300
0.5,10.3,16.4,33.4,3260
2.4,6,13.5,4.1,3340
1.8,3.8,9.2,1.5,3340
1.1,3,12.6,0.1,3340
3.7,3.4,8,15.6,3340
1.8,1.8,6.9,0.3,3340
1.5,-0.4,10.5,0,3760
2.2,4.4,7.2,3.9,3860
0.9,5,9.4,3.8,4140
2.5,3.1,8.1,3.3,4140
3.4,2.3,7,0.9,4140
1.9,0.1,7.6,0.9,4200
1.7,-0.8,5.8,5.7,4400
3.2,-2.9,2.6,3.9,4400
1.9,-2.8,8.4,0,4400
2.6,1.7,14.5,0,4300
2.5,1.6,12.5,0,4300
1.6,1,12.9,1.1,4300
2.8,4.5,14.4,16.5,4400
4.5,-0.4,7.2,0,4300
1.9,-2.7,7.3,1.1,4440
2,-1.8,6.5,2.3,4440
1.3,-3.5,13.9,0,4440
3,5.1,18.5,1,4440
4.4,1,9.3,0,4440
0.8,0.4,8,2,4440
1,3.3,11.4,2.4,4640
1.3,3.9,13.1,0.1,4680
1.6,1.4,8.5,4.6,4780
3.5,-2,8,0,4880
1,0.5,10,0.9,4880
2.8,1.7,11.4,0,4880
2.1,-1.3,12.9,0,5040
1.3,1,13.6,0,5300
1,6.3,10.9,18.8,5400
1.7,5.1,11.6,15.8,5600
3.5,1.3,12.7,0,5600
2.6,0.8,12.4,0,5600
1.2,-0.5,16.6,0,5600
1.3,4.9,19,0,5700
2.5,5.1,15.2,0.1,5800
1.5,1.4,12.9,0.1,5900
1.2,0,16.5,0,6000
1.3,4.6,19.5,0,5900
1.2,6.9,17.7,0.1,5900
2.2,7.9,17,0.9,5900
3,9.2,15.9,3.8,6000
4.9,3,11.3,1.6,6200
3.2,0.9,8.9,0.7,6200
1.5,-0.2,12.5,0,6200
1.7,0.2,14.4,0,6100
1.9,0.8,16.5,0,6100
1.4,3.8,16.3,0.2,6100
1.5,10.1,18.4,5.5,6100
1.5,10.2,22.5,0.2,5900
3.5,8.7,16.6,8,5900
